season,team,epa_per_play
2020,DAL,-0.027564109499751684
2021,DAL,0.041554299046720346
2022,DAL,0.02501043347132072
2023,DAL,0.0907579272501098
2024,DAL,-0.04503929624967062
2011,DEN,-0.060338155095075154
2012,DEN,0.08814711116837111
2013,DEN,0.1499557958946056
2014,DEN,0.04125363160571563
2015,DEN,-0.06670707578002422
2016,DEN,-0.06476395842813239
2017,DEN,-0.12792565134808134
2018,DEN,-0.0427479179295069
2019,DEN,-0.050155228306641826
2020,DEN,-0.06806315351420526
2021,DEN,0.010516045308660961
2022,DEN,-0.08103931204078493
2023,DEN,-0.045133256878557244
2024,DEN,0.01982850677964066
2011,DET,0.01943716452044003
2012,DET,-0.017630055176788454
2013,DET,0.00155738946246015
2014,DET,-0.05368805909422817
2015,DET,-0.014925449975748182
2016,DET,0.024601523996012023
2017,DET,-0.058735718673141396
2018,DET,-0.049515949996468654
2019,DET,-0.04034722510196035
2020,DET,-0.007845268022981015
2021,DET,-0.06132330210285442
2022,DET,0.04773557910704654
2023,DET,0.03300114844204442
2024,DET,0.1350840310946863
2011,GB,0.1621502602042978
2012,GB,0.08057265405831841
2013,GB,0.05548288687098711
2014,GB,0.08129531412959079
2015,GB,0.01445434251651739
2016,GB,0.08736324140572606
2017,GB,-0.03759469068664562
2018,GB,0.008941461253814393
2019,GB,0.02874493449971924
2020,GB,0.14955308320006003
2021,GB,0.07420600767230824
2022,GB,-0.005382408072925192
2023,GB,0.04771365470574332
2024,GB,0.057849069802677074
2011,HOU,0.002427283193522153
2012,HOU,0.03560325816618407
2013,HOU,-0.09996421244447559
2014,HOU,-0.04626792973262845
2015,HOU,-0.07588785447914242
2016,HOU,-0.11415244156834645
2017,HOU,-0.058701569849860843
2018,HOU,5.349926743024819e-4
2019,HOU,0.019457783886888083
2020,HOU,0.04984929044351562
2021,HOU,-0.1137385005915002
2022,HOU,-0.13066013504798338
2023,HOU,-0.019651886202971248
2024,HOU,-0.018098102858363635
2011,IND,-0.11961510016062672
2012,IND,0.013503700968621522
2013,IND,0.04926729801502211
2014,IND,0.01990531294467999
2015,IND,-0.06993885257269028
2016,IND,0.04623908496600892
2017,IND,-0.08116150938132563
2018,IND,0.02540476597578749
2019,IND,-0.026835013288143746
2020,IND,0.055212448508950844
2021,IND,0.0394312206647891
2022,IND,-0.14041978906131958
2023,IND,-0.03723639784267305
2024,IND,-0.0359377703916411
2011,JAX,-0.12012854049471092
2012,JAX,-0.08304344907719541
2013,JAX,-0.10250749183744337
2014,JAX,-0.14119792294091152
2015,JAX,-0.04530357691458845
2016,JAX,-0.05461109224116785
2017,JAX,-0.0027664049313253294
2018,JAX,-0.11296574674697271
2019,JAX,-0.04593591324519809
2020,JAX,-0.06699500523282913
2021,JAX,-0.09250438547777816
2022,JAX,0.031154399732873872
2023,JAX,-0.029459235177362764
2024,JAX,0.006728423779876051
2011,KC,-0.098145930054766
2012,KC,-0.09827270321178616
2013,KC,0.052453576423053976
2014,KC,0.027655154755545176
2015,KC,0.039130922167639755
2016,KC,0.00645079545654835
2017,KC,0.06316329087079062
2018,KC,0.17350612156449996
2019,KC,0.11574170642169027
2020,KC,0.1326927334786282
2021,KC,0.11913541280610515
2022,KC,0.12378620370992927
2023,KC,0.014037145539147868
2024,KC,0.04775666162807358
2011,LAC,0.07466164590623459
2012,LAC,-0.013330767562391654
2013,LAC,0.11978044151791767
2014,LAC,-0.004421526958055225
2015,LAC,-0.023495464848385744
2016,LAC,-0.019700125546141943
2017,LAC,0.01372602674360654
